,名字,描述,下属城市,假数据最小,假数据最大
id,id_name,id_describe,countryId,fakemin,fakemax
1,1001,,,,
2,1002,,,5,20
3,1003,,,0,0
4,1004,,,10,30
5,1005,,,0,0
6,1006,,,20,60
7,1007,,,0,15
8,1008,,,0,0
9,1009,,,0,15
10,1010,,,0,15
11,1011,,,0,0
12,1012,,,80,150
13,1013,,,80,150
14,1014,,,10,30
15,1015,,,10,30
16,1016,,,0,15
17,1017,,,50,120
18,1018,,,20,60
19,1019,,,10,30
20,1020,,,0,0
21,1021,,,100,300
22,1022,,,0,15
23,1023,,,0,0
24,1024,,,50,120
25,1025,,,0,0
26,1026,,,0,0
27,1027,,,0,0
28,1028,,,0,0
29,1029,,,0,0
30,1030,,,0,0
31,1031,,,0,0
32,1032,,,0,0
33,1033,,,0,0
34,1034,,,0,0
35,1035,,,0,0
